source,date_sent,posts
Indeed,2016-07-14,14
Indeed,2016-07-13,5
Indeed,2016-07-12,4
Indeed,2016-07-11,2
Indeed,2016-07-10,6
Indeed,2016-07-09,11
Indeed,2016-07-08,6
Indeed,2016-07-07,13
Indeed,2016-07-06,16
Indeed,2016-07-05,1
Indeed,2016-07-03,1
Indeed,2016-07-02,11
Indeed,2016-07-01,19
Indeed,2016-06-30,11
Indeed,2016-06-29,12
Indeed,2016-06-28,3
Indeed,2016-06-27,1
Indeed,2016-06-26,2
Indeed,2016-06-25,9
Indeed,2016-06-24,5
Indeed,2016-06-23,14
Indeed,2016-06-22,12
Indeed,2016-06-21,7
Indeed,2016-06-20,7
Indeed,2016-06-19,1
Indeed,2016-06-18,12
Indeed,2016-06-17,7
Indeed,2016-06-16,6
Indeed,2016-06-15,9
Indeed,2016-06-14,12
Indeed,2016-06-13,3
Indeed,2016-06-12,3
Indeed,2016-06-11,9
Indeed,2016-06-10,8
Indeed,2016-06-09,8
Indeed,2016-06-08,3
Indeed,2016-06-07,3
Indeed,2016-06-06,1
Indeed,2016-06-05,5
Indeed,2016-06-04,4
Indeed,2016-06-03,7
Indeed,2016-06-02,12
Indeed,2016-05-31,1
Indeed,2016-05-30,2
Indeed,2016-05-29,3
Indeed,2016-05-28,10
Indeed,2016-04-07,11
Indeed,2016-04-06,16
Indeed,2016-04-05,8
Indeed,2016-04-03,2
Indeed,2016-04-02,6
Indeed,2016-04-01,7
Indeed,2016-03-31,13
Indeed,2016-03-30,12
Indeed,2016-03-29,12
Indeed,2016-03-28,2
Indeed,2016-03-27,1
Indeed,2016-03-26,13
Indeed,2016-03-25,13
Indeed,2016-03-24,14
Indeed,2016-03-24,18
Indeed,2016-03-22,19
Indeed,2016-03-21,1
Indeed,2016-03-20,13
Indeed,2016-03-19,13
Indeed,2016-03-17,6
Indeed,2016-03-15,11
Indeed,2016-03-12,15
Indeed,2016-03-10,14
Indeed,2016-03-09,12
Indeed,2016-03-05,6
Indeed,2016-03-01,2
Indeed,2016-02-29,8
Indeed,2016-02-27,20
Indeed,2016-02-26,7
Indeed,2016-02-25,15
Indeed,2016-02-24,10
Indeed,2016-02-23,12
Indeed,2016-02-23,1
Indeed,2016-02-21,2
Indeed,2016-02-20,15
Indeed,2016-02-18,22
Indeed,2016-02-17,16
Indeed,2016-02-14,8
Indeed,2016-02-13,8
Indeed,2016-02-11,17
Indeed,2016-02-10,15
Indeed,2016-02-09,6
Indeed,2016-02-08,2
Indeed,2016-02-07,8
Indeed,2016-02-06,6
Indeed,2016-02-05,8
Indeed,2016-02-04,7
Indeed,2016-02-03,12
Indeed,2016-02-02,4
Indeed,2016-02-01,2
Indeed,2016-01-31,7
Indeed,2016-01-30,9
Indeed,2016-01-29,11
Indeed,2016-01-28,9
Indeed,2016-01-27,8
Indeed,2016-01-25,8
Indeed,2016-01-24,5
Indeed,2016-01-22,12
Indeed,2016-01-21,7
Indeed,2016-01-20,9
Indeed,2016-01-19,6
Indeed,2016-01-18,5
Indeed,2016-01-15,10
Indeed,2016-01-13,12
Indeed,2016-01-11,1
Indeed,2016-01-09,8
Indeed,2016-01-08,4
Indeed,2016-01-07,13
Indeed,2016-01-06,14
Indeed,2016-01-05,4
Indeed,2016-01-04,4
Indeed,2016-01-03,5
Indeed,2016-01-01,14
Indeed,2015-12-31,8
Indeed,2015-12-28,2
Indeed,2015-12-27,3
Indeed,2015-12-25,1
Indeed,2015-12-23,22
Indeed,2015-12-22,9
Indeed,2015-12-21,1
Indeed,2015-12-20,5
Indeed,2015-12-19,13
Indeed,2015-12-18,10
Indeed,2015-12-17,8
Indeed,2015-12-16,16
Indeed,2015-12-15,5
Indeed,2015-12-13,6
Indeed,2015-12-12,8
Indeed,2015-12-11,6
Indeed,2015-12-10,18
Indeed,2015-12-09,10
Indeed,2015-12-06,7
Indeed,2015-12-05,15
Indeed,2015-12-04,9
Indeed,2015-11-30,1
Indeed,2015-11-27,1
Indeed,2015-11-24,9
Indeed,2015-11-20,9
Indeed,2015-11-19,20
Indeed,2015-11-18,16
Indeed,2015-11-17,9
Indeed,2015-11-15,5
Indeed,2015-11-13,12
Indeed,2015-11-12,10
Indeed,2015-11-10,8
Indeed,2015-11-07,9
Indeed,2015-11-06,8
Indeed,2015-11-05,8
Indeed,2015-11-04,10
Indeed,2015-11-03,5
Indeed,2015-11-02,2
Indeed,2015-11-01,4
Indeed,2015-10-31,7
Indeed,2015-10-30,5
Indeed,2015-10-29,11
Indeed,2015-10-28,14
Indeed,2015-10-27,9
Indeed,2015-10-25,8
Indeed,2015-10-24,10
Indeed,2015-10-23,10
Indeed,2015-10-22,15
Indeed,2015-10-21,16
Indeed,2015-10-20,11
Indeed,2015-10-19,1
Indeed,2015-10-18,10
Indeed,2015-10-17,3
Indeed,2015-10-16,13
Indeed,2015-10-15,7
Indeed,2015-10-14,10
Indeed,2015-10-13,2
Indeed,2015-10-12,2
Indeed,2015-10-11,2
Indeed,2015-10-10,5
Indeed,2015-10-09,17
Indeed,2015-10-08,12
Indeed,2015-10-07,15
Indeed,2015-10-06,9
Indeed,2015-10-05,1
Indeed,2015-10-04,4
Indeed,2015-10-03,11
Indeed,2015-10-02,9
Indeed,2015-10-01,6
Indeed,2015-09-30,12
Indeed,2015-09-29,9
Indeed,2015-09-28,5
Indeed,2015-09-27,4
Indeed,2015-09-26,9
Indeed,2015-09-25,14
Indeed,2015-09-24,6
Indeed,2015-09-23,8
Indeed,2015-09-22,5
Indeed,2015-09-21,2
Indeed,2015-09-20,6
Indeed,2015-09-19,11
Indeed,2015-09-18,11
Indeed,2015-09-17,5
Indeed,2015-09-16,17
Indeed,2015-09-15,6
Indeed,2015-09-14,1
Indeed,2015-09-13,4
Indeed,2015-09-12,12
Indeed,2015-09-11,9
Indeed,2015-09-10,8
Indeed,2015-09-09,10
Indeed,2015-09-08,1
Indeed,2015-09-07,1
Indeed,2015-09-06,2
Indeed,2015-09-05,9
Indeed,2015-09-04,16
Indeed,2015-09-03,14
Indeed,2015-09-02,8
Indeed,2015-09-01,7
Indeed,2015-08-31,3
Indeed,2015-08-30,5
Indeed,2015-08-29,9
Indeed,2015-08-28,9
Indeed,2015-08-27,10
Indeed,2015-08-26,8
Indeed,2015-08-25,6
Indeed,2015-08-24,5
Indeed,2015-08-23,5
Indeed,2015-08-22,12
Indeed,2015-08-21,14
Indeed,2015-08-20,11
Indeed,2015-08-19,8
Indeed,2015-08-18,9
Indeed,2015-08-16,2
Indeed,2015-08-15,4
Indeed,2015-08-14,4
Indeed,2015-08-13,10
Indeed,2015-08-12,9
Indeed,2015-08-11,3
Indeed,2015-08-10,4
Indeed,2015-08-09,4
Indeed,2015-08-08,7
Indeed,2015-08-07,9
Indeed,2015-08-06,9
Indeed,2015-08-05,12
Indeed,2015-08-04,4
Indeed,2015-08-02,4
Indeed,2015-08-01,11
Indeed,2015-07-31,5
Indeed,2015-07-30,13
Indeed,2015-07-29,9
Indeed,2015-07-28,4
Indeed,2015-07-27,1
Indeed,2015-07-25,8
Indeed,2015-07-24,28
Indeed,2015-07-23,8
Indeed,2015-07-22,6
Indeed,2015-07-21,7
Indeed,2015-07-19,2
Indeed,2015-07-18,6
Indeed,2015-07-17,10
Indeed,2015-07-16,8
Indeed,2015-07-15,5
Indeed,2015-07-14,7
Indeed,2015-07-12,4
Indeed,2015-07-11,8
Indeed,2015-07-10,13
Indeed,2015-07-09,13
Indeed,2015-07-07,10
Indeed,2015-07-06,1
Indeed,2015-07-05,2
Indeed,2015-07-04,5
Indeed,2015-07-02,12
Indeed,2015-06-29,3
Indeed,2015-06-28,7
Indeed,2015-06-27,10
Indeed,2015-06-25,9
Indeed,2015-06-24,10
Indeed,2015-06-23,10
Indeed,2015-06-21,1
Indeed,2015-06-20,7
Indeed,2015-06-18,9
Indeed,2015-06-16,12
Indeed,2015-06-15,3
Indeed,2015-06-14,15
Indeed,2015-06-13,10
Indeed,2015-06-12,4
Indeed,2015-06-11,7
Indeed,2015-06-10,7
Indeed,2015-06-09,10
Indeed,2015-06-08,4
Indeed,2015-06-07,5
Indeed,2015-06-06,10
Indeed,2015-06-05,13
Indeed,2015-06-04,7
Indeed,2015-06-02,10
Indeed,2015-06-01,1
Indeed,2015-05-31,3
Indeed,2015-05-30,7
Indeed,2015-05-29,3
Indeed,2015-05-28,7
Indeed,2015-05-26,1
Indeed,2015-05-24,3
Indeed,2015-05-23,9
Indeed,2015-05-22,9
Indeed,2015-05-21,9
Indeed,2015-05-20,5
Indeed,2015-05-18,4
Indeed,2015-05-17,2
Indeed,2015-05-16,6
Indeed,2015-05-15,7
Indeed,2015-05-14,5
Indeed,2015-05-13,8
Indeed,2015-05-12,3
Indeed,2015-05-11,1
Indeed,2015-05-10,4
Indeed,2015-05-09,30
Indeed,2015-05-08,7
Indeed,2015-05-07,3
Indeed,2015-05-06,13
Indeed,2015-05-05,1
Indeed,2015-05-03,4
Indeed,2015-05-02,7
Indeed,2015-05-01,11
Indeed,2015-04-30,9
Indeed,2015-04-29,4
Indeed,2015-04-28,2
Indeed,2015-04-27,1
Indeed,2015-04-26,4
Indeed,2015-04-24,13
Indeed,2015-04-23,4
Indeed,2015-04-22,6
Indeed,2015-04-21,9
Indeed,2015-04-20,3
Indeed,2015-04-19,5
Indeed,2015-04-18,9
Indeed,2015-04-17,6
Indeed,2015-04-16,11
Indeed,2015-04-15,13
Indeed,2015-04-14,5
Indeed,2015-04-13,2
Indeed,2015-04-12,4
Indeed,2015-04-11,9
Indeed,2015-04-10,12
Indeed,2015-04-09,9
Indeed,2015-04-08,6
Indeed,2015-04-07,13
Indeed,2015-04-06,2
Indeed,2015-04-05,2
Indeed,2015-04-04,10
Indeed,2015-04-03,11
Indeed,2015-04-02,5
Indeed,2015-04-01,8
Indeed,2015-03-31,11
Indeed,2015-03-29,4
Indeed,2015-03-28,16
Indeed,2015-03-27,9
Indeed,2015-03-26,10
Indeed,2015-03-25,30
Indeed,2015-03-24,9
Indeed,2015-03-23,3
Indeed,2015-03-21,10
Indeed,2015-03-20,9
Indeed,2015-03-19,11
Indeed,2015-03-18,12
Indeed,2015-03-17,12
Indeed,2015-03-16,1
Indeed,2015-03-15,5
Indeed,2015-03-14,6
Indeed,2015-03-13,7
Indeed,2015-03-12,12
Indeed,2015-03-11,7
Indeed,2015-03-10,18
Indeed,2015-03-09,2
Indeed,2015-03-08,7
Indeed,2015-03-07,5
Indeed,2015-03-06,9
Indeed,2015-03-05,18
Indeed,2015-03-04,11
Indeed,2015-03-03,14
Indeed,2015-03-02,2
Indeed,2015-03-01,1
Indeed,2015-02-28,13
Indeed,2015-02-27,9
Indeed,2015-02-26,12
Indeed,2015-02-25,12
Indeed,2015-02-24,6
Indeed,2015-02-23,2
Indeed,2015-02-22,4
Indeed,2015-02-21,12
Indeed,2015-02-20,23
Indeed,2015-02-19,10
Indeed,2015-02-18,12
Indeed,2015-02-17,15
Indeed,2015-02-16,1
Indeed,2015-02-14,14
Indeed,2015-02-13,12
Indeed,2015-02-12,8
Indeed,2015-02-11,4
Indeed,2015-02-10,1
Indeed,2015-02-09,1
Indeed,2015-02-08,3
Indeed,2015-02-07,5
Indeed,2015-02-06,10
Indeed,2015-02-05,5
Indeed,2015-02-04,2
Indeed,2015-02-03,6
Indeed,2015-02-01,3
Indeed,2015-01-31,12
Indeed,2015-01-30,2
Indeed,2015-01-29,2
Indeed,2015-01-28,7
Indeed,2015-01-27,3
Indeed,2015-01-26,3
Indeed,2015-01-25,1
Indeed,2015-01-24,9
Indeed,2015-01-23,5
Indeed,2015-01-22,4
Indeed,2015-01-21,2
Indeed,2015-01-20,9
Indeed,2015-01-19,1
Indeed,2015-01-18,6
Indeed,2015-01-17,13
Indeed,2015-01-16,3
Indeed,2015-01-15,4
Indeed,2015-01-14,11
Indeed,2015-01-13,3
Indeed,2015-01-10,7
Indeed,2015-01-09,4
Indeed,2015-01-08,5
Indeed,2015-01-07,2
Indeed,2015-01-06,9
Indeed,2015-01-03,1
Indeed,2015-01-01,5
Indeed,2014-12-31,5
Indeed,2014-12-30,7
Indeed,2014-12-29,1
Indeed,2014-12-28,2
Indeed,2014-12-25,3
Indeed,2014-12-24,4
Indeed,2014-12-23,4
Indeed,2014-12-21,2
Indeed,2014-12-20,5
Indeed,2014-12-19,7
Indeed,2014-12-18,4
Indeed,2014-12-17,7
Indeed,2014-12-16,5
Indeed,2014-12-14,3
Indeed,2014-12-13,3
Indeed,2014-12-12,6
Indeed,2014-12-11,12
Indeed,2014-12-10,6
Indeed,2014-12-09,6
Indeed,2014-12-08,1
Indeed,2014-12-07,1
Indeed,2014-12-06,7
Indeed,2014-12-05,5
Indeed,2014-12-04,6
Indeed,2014-12-03,7
Indeed,2014-12-02,3
Indeed,2014-11-28,1
Indeed,2014-11-27,2
Indeed,2014-11-26,7
Indeed,2014-11-25,4
Indeed,2014-11-23,1
